Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes
Railblazer,0x0432,Engine Starter Mode,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,Not available,,,,,
AMT,0x0437,Bluebox Noise Constraint,Table Only,False,1.0,0.0,NoiseConstraintConfig<0xF911> = PIEK<1>,Technician,,,True,1.0,0.0,,
AMT,0x043B,Battery Current - Filtered,Graph and Table,True,0.0,0.0,No Dependency,Technician,Currents (A),"15, 45, 52, 61, 67, 105, 106, 107, 110, 112, 143, 522",False,0.0,0.0,,Filtered Battery Current
Nebula-Galaxy,0x043C,Truck/Trailer ID,Header,False,1.0,1.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x0469,Total Temperature Control Protection Hours,Table and Graph,False,0.0,0.0,,Technician,,,,0.0,1.0,,
Railblazer,0x048F,Auto Ambient Mode,Table Only,False,1.0,0.0,No Dependency,User,,,,,,Log entry and exit from constraint of this feature (ID 266),
AMT,0x048F,Auto Ambient (Mode) Active,Table Only,False,1.0,0.0,No Dependency,User,,,True,0.0,0.0,,
Navigator,0x048F,Auto Ambient Mode,Table Only,False,1.0,0.0,No Dependency,User,,,,,,Log entry and exit from constraint of this feature (ID 266),
Navigator,0x0490,Charge Equalization Active,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,,,Event log whenever parameter SPN state changes (ID 350)   ,event log which indicates when battery charge equalisation procedure has initiated/completed. 
Railblazer,0x0490,Charge Equalization Active,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,,,Event log whenever parameter SPN state changes (ID 350)   ,event log which indicates when battery charge equalisation procedure has initiated/completed. 
AMT,0x0490,Charge Equalization Active,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,0.0,0.0,,event log which indicates when battery charge equalisation procedure has initiated/completed. 
AMT,0x049C,Pretrip Defrost - Zone 1,Table Only,False,1.0,0.0,No Dependency,User,,,True,0.0,0.0,,"Event log which indicates defrost request
FUTURE (post launch scope)"
AMT,0x049E,Start of Trip,Table Only,False,1.0,0.0,No Dependency,User,,,True,0.0,0.0,,
Railblazer,0x049E,Start of Trip,Table Only,False,1.0,0.0,No Dependency,User,,,,,, Log event if SOT (start of trip) slected,
DEET,0x049F,Water in Fuel Status,Table Only,False,1.0,0.0,,User,,TBD,True,,,Event log: when status changes,
Railblazer,0x049F,Water in Fuel Status,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,"516, 517",,,,,
AMT,0x04AE,UFD Detected,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,0.0,0.0,,
Railblazer,0x04AE,UFD Detected,Table Only,False,1.0,0.0,No Dependency,Technician,,,,,,,
AMT,0x04B2,Service Test Defrost - Zone 1,Table Only,False,1.0,0.0,No Dependency,User,,,True,0.0,0.0,,"Event log which indicates defrost request
FUTURE (post launch scope)"
AMT,0x04C0,SW Download Status,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,0.0,0.0,,
Railblazer,0x04C0,SW Download Status,Table Only,False,1.0,0.0,No Dependency,Technician,,,,,,,
AMT,0x04D2,Third Party 3A Current Draw,Table Only,True,0.0,0.0,No Dependency,Technician,,"61, 159",False,0.0,0.0,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). "
Navigator,0x04D2,Third Party 3A Current Draw ,Table Only,True,0.0,0.0,No Dependency,Technician,,"61, 159",,,,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN allocation on 18th Nov 20 alongside code implementation for PL2 release. 
DB - Updated name to include '3A'  on 28th July 2021"
Railblazer,0x04D2,Third Party 3A Current Draw ,Table Only,TRUE,0.0,0.0,No Dependency,Technician,,"61, 159",,,,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN allocation on 18th Nov 20 alongside code implementation for PL2 release. 
DB - Updated name to include '3A'  on 28th July 2021"
DEET,0x04D3,LIV Current Drawn,Table Only,False,1.0,0.0,,Technician,,10:121,,,,"Log on event based on the fault being set, as defined in column ""I""",
Nebula-Galaxy,0x04D3,Liquid Injection Valve Current Drawn,Table and Graph,True,0.0,0.0,,Technician,,121,,0.0,0.0,,
DEET,0x04E1,System Phase 1 True Current,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
DEET,0x04E2,System Phase 2 True Current,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
DEET,0x04E3,System Phase 3 True Current,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
DEET,0x04E4,Motor Phase 1 True Current,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
DEET,0x04E5,Motor Phase 2 True Current,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
DEET,0x04E6,Motor Phase 3 True Current,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
DEET,0x04E7,System Phase Pair Shift,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
DEET,0x04E8,Motor Phase Pair Shift,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
DEET,0x04EB,System Phase Pair Average Frequency,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
DEET,0x04EE,Motor Phase Pair Average Frequency,Table Only,True,0.0,0.0,,Technician,,23:527; 220:321; 220:323; 220:324; 220:326; 220:327; 33:366,,,,,
AMT,0x04FF,OSP Profile Active,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,0.0,0.0,,
Railblazer,0x04FF,OSP Profile Active,Table Only,False,1.0,0.0,No Dependency,Technician,,,,,,,
DEET,0x0514,Pretrip Status (non-running),Table Only,False,1.0,0.0,,User,,,,,,Log event when Pretrip Status is entered & exited/completed (more Pretrip status's may be logged if applicable),"For DEET, this tracks the non-running pretrip status only"
AMT,0x0517,Alert Defrost - zone 1,Table Only,False,1.0,0.0,No Dependency,User,,,True,0.0,0.0,,Event log which indicates defrost request
Navigator,0x0517,Alert Defrost,Table Only,False,1.0,0.0,No Dependency,User,,,True,,,Log event if parameter value changes. ,DB - Added 28th July 2021
Railblazer,0x0517,Alert Defrost,Table Only,False,1.0,0.0,No Dependency,User,,,True,,, Log event if parameter value changes. ,"DB - Added 28th July 2021
P.Carr 21st July 23: added missing acronym to list - ALTDF "
AMT,0x0538,Wake Reason,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,1.0,0.0,,
Railblazer,0x0538,Wake Reason,Table Only,False,1.0,0.0,No Dependency,Technician,,,,,,,
AMT,0x0541,Component Flashload Selection,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,0.0,0.0,,
Railblazer,0x0541,Component Flashload Selection,Table Only,False,1.0,0.0,No Dependency,Technician,,,,,,,
Railblazer,0x0548,EngineBreakInMode,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,Not available,,,,,
DEET,0x0548,Engine Break-In Status,Table Only,False,1.0,0.0,,Technician,,,,,,"Log event when a change in engine break-in status only for failed, completed, or timed out. ","Did not include enumerations for 0, 1, or 2 (unavilable, ready, and loading). 
3	FAILED
4	COMPLETED
5	TIMED_OUT"
Railblazer,0x0578,Engine Break-in Complete,Table Only,False,1.0,0.0,No Dependency,Technician,,,,,,Log completed time when event log for Engine Break-in Status (0x0548) occurs.,
Navigator,0x0584,Third Party 10A Current Draw,Table Only,True,0.0,0.0,No Dependency,Technician,,"61, 159",,,,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN on 14thJune 2021 as part of PL2.2"
AMT,0x0584,Third Party 10A Current Draw,Table Only,True,0.0,0.0,No Dependency,Technician,,"61, 159",False,0.0,0.0,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). "
AMT,0x0587,Third Party 15A Current Draw,Table Only,True,0.0,0.0,No Dependency,Technician,,"61, 159",False,0.0,0.0,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). "
Navigator,0x0587,Third Party 15A Current Draw,Table Only,True,0.0,0.0,No Dependency,Technician,,"61, 159",,,,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN on 14thJune 2021 as part of PL2.2"
Railblazer,0x0587,Third Party 15A Current Draw,Table Only,TRUE,0.0,0.0,No Dependency,Technician,,"61, 159",,,,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN on 14thJune 2021 as part of PL2.2"
AMT,0x058A,Third Party 2A Current Draw,Table Only,True,0.0,0.0,No Dependency,Technician,,"61, 159",False,0.0,0.0,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). "
Navigator,0x058A,Third Party 2A Current Draw,Table Only,True,0.0,0.0,No Dependency,Technician,,"61, 159",,,,,"Timed log event, very helpful for diagnosis on battery faults on short cycling cycle sentry (to determine if third party devices are connected to the dedicated power connection source). 
Added SPN on 14thJune 2021 as part of PL2.2"
Nebula-Galaxy,0x0593,Radiator Coolant Level Switch ,Table Only,False,1.0,0.0,,Technician,,37,,0.0,0.0,,
Nebula-Galaxy,0x0594,Damper Solenoid ,Table Only,False,1.0,0.0,,Technician,,TBD,,0.0,0.0,,
Nebula-Galaxy,0x0595,Water Pump On/Off Switch,Table Only,False,1.0,0.0,,Technician,,205,,0.0,0.0,,
AMT,0x059D,Delta T Defrost - Zone 1,Table Only,False,1.0,0.0,No Dependency,User,,,True,0.0,0.0,,Event log which indicates defrost request
AMT,0x05A5,Condenser Inlet Solenoid Current Drawn,Table Only,False,1.0,0.0,No Dependency,Technician,,107,False,0.0,0.0,,
AMT,0x05A6,Liquid Line Solenoid Z1 Current Drawn,Table Only,False,1.0,0.0,No Dependency,Technician,,67,False,0.0,0.0,,
Nebula-Galaxy,0x05A6,Liquid Line Solenoid Current Drawn Zone 1,Table and Graph,True,0.0,0.0,,Technician,,67,,0.0,0.0,,
AMT,0x05A7,Suction Line Solenoid Z1 Current Drawn,Table Only,False,1.0,0.0,No Dependency,Technician,,110,False,0.0,0.0,,
AMT,0x05A8,Receiver Tank Pressure Solenoid Current Drawn,Table Only,False,1.0,0.0,No Dependency,Technician,,105,False,0.0,0.0,,
AMT,0x05AD,Purge Valve Current Drawn,Table Only,False,1.0,0.0,No Dependency,Technician,,106,False,0.0,0.0,,
AMT,0x05AE,Return Air Temperature - Zone 2,Graph and Table,True,0.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,"Temperatures (◦C/◦F )
MT Zone 2","3, 280",False,0.0,0.0,,
Nebula-Galaxy,0x05AF,Discharge Air Temperature Zone 2,Table and Graph,True,0.0,0.0,,Technician,Temperatures (◦C/◦F )MT Zone 2,4,,0.0,0.0,,
AMT,0x05AF,Discharge Air Temperature - Zone 2,Graph and Table,True,0.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,"Temperatures (◦C/◦F )
MT Zone 2","4, 280",False,0.0,0.0,,
AMT,0x05B0,Evaporator Coil Temperature - Zone 2,Graph and Table,True,0.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,"Temperatures (◦C/◦F )
MT Zone 2","2, 9, 280",False,0.0,0.0,,
AMT,0x05CC,Electric Motor Rotation,Table Only,False,1.0,0.0,No Dependency,Technician,,"7, 21, 22, 23, 24, 26, 32, 36, 48, 273, 274, 276, 277, 526, 555",True,0.0,0.0,,"Positive (0)   - represents counter clockwise rotation (default setting)
Negative (1) - represents clockwise rotation"
Navigator,0x05CC,Electric Motor Rotation,Table Only,False,1.0,0.0,No Dependency,Technician,,"10, 21, 22, 23, 24, 26, 32, 48, 273, 274, 276, 277, 526, 555",,,,PC 27th May 2021 - new SPN to be logged as event log to support HPE req. ID 5236 (421 - Electric Motor Rotation - Logging/Reporting),"Positive (0)   - represents counter clockwise rotation (default setting)
Negative (1) - represents clockwise rotation"
Railblazer,0x05CC,Electric Motor Rotation,Table Only,False,1.0,0.0,No Dependency,Technician,,"10, 21, 22, 23, 24, 26, 32, 48, 273, 274, 276, 277, 526, 555",,,,PC 27th May 2021 - new SPN to be logged as event log to support HPE req. ID 5236 (421 - Electric Motor Rotation - Logging/Reporting),"Positive (0)   - represents counter clockwise rotation (default setting)
Negative (1) - represents clockwise rotation"
Nebula-Galaxy,0x05D1,Combo Device Control DC/AC Converter,Table Only,False,1.0,0.0,,Technician,,579,,0.0,0.0,,
Nebula-Galaxy,0x05D2,Combo Device DC/AC Requested Speed,Table and Graph,True,0.0,0.0,,Technician,,579,,0.0,0.0,Compressor Speed,
Nebula-Galaxy,0x05D3,Combo Device System Enable,Table Only,False,1.0,0.0,,Technician,,265,,0.0,0.0,MobileSystemEnable`,
Nebula-Galaxy,0x05D6,Combo Device Control DC/DC Converter,Table Only,False,1.0,0.0,,Technician,,265,,0.0,0.0,,
Nebula-Galaxy,0x05D7,Combo Device Low Voltage Setpoint,Table and Graph,True,0.0,0.0,,Technician,,265,,0.0,0.0,,
Nebula-Galaxy,0x05D9,Combo Device Communitcation Status,Table Only,False,1.0,0.0,,Technician,,265,,0.0,0.0,DCDCCommsStatus,
Nebula-Galaxy,0x05DA,Combo Device Inverter Status,Table Only,False,1.0,0.0,,Technician,,579,,0.0,0.0,,
Nebula-Galaxy,0x05DB,Combo Device Inverter Ready,Table Only,False,1.0,0.0,,Technician,,579,,0.0,0.0,,
Nebula-Galaxy,0x05DC,Combo Device DCDC Error Status,Table Only,False,1.0,0.0,,Technician,,265,,0.0,0.0,DCDCErrorStatus,
Nebula-Galaxy,0x05DD,Combo Device DC/DC Current,Table and Graph,True,0.0,0.0,,Technician,Currents (A),265,,0.0,0.0,DCDCCurrent,
Nebula-Galaxy,0x05DE,Combo Device DC/DC Power,Table and Graph,True,0.0,0.0,,Technician,,265,,0.0,0.0,DCDCPower,
Nebula-Galaxy,0x05DF,Combo Device DC/AC Temp,Table and Graph,True,0.0,0.0,,Technician,Temperatures (◦C/◦F ) MT Zone 1,579,,0.0,0.0,InverterTemp,
Nebula-Galaxy,0x05E0,Combo Device DC/DC Voltage,Table and Graph,True,0.0,0.0,,Technician,Voltage (V),265,,0.0,0.0,DCDCVoltage,
Nebula-Galaxy,0x05E1,Combo Device DC/AC Inverter Status,Table Only,False,1.0,0.0,,Technician,,579,,0.0,0.0,InverterStatus,
Nebula-Galaxy,0x05E2,Combo Device DC/AC Inverter Ready,Table Only,False,1.0,0.0,,Technician,,579,,0.0,0.0,InverterReady,
Nebula-Galaxy,0x05E3,Combo Device DC/AC Error Status,Table Only,False,1.0,0.0,,Technician,,579,,0.0,0.0,InverterErrorStatus,
Nebula-Galaxy,0x05E4,Combo Device DC/AC Speed,Table and Graph,True,0.0,0.0,,Technician,,579,,0.0,0.0,Compressor Actual Speed,
Nebula-Galaxy,0x05E5,Combo Device DC/AC Power,Table and Graph,True,0.0,0.0,,Technician,,579,,0.0,0.0,,
Nebula-Galaxy,0x05E9,System State,Table Only,False,1.0,0.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x05E9,System State Zone1,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824>=1 OR ZoneConfiguration<0xF824>=2,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x05EA,System State Zone2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824>=2,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x05F1,Evaporator Fan Usage Zone 1,Table and Graph,True,0.0,0.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x05F1,Evaporator Fan Usage,Table and Graph,True,0.0,0.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x05F2,Restart Differential,Table Only,False,1.0,0.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x05F2,Restart Differential Zone 1,Table Only,False,1.0,0.0,,Technician,,,,0.0,0.0,,
AMT,0x05FA,FlashLoad Source,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,0.0,0.0,,
Railblazer,0x05FA,FlashLoad Source,Table Only,False,1.0,0.0,No Dependency,Technician,,,,,,,
AMT,0x0617,System Output State,Table Only,True,0.0,0.0,No Dependency,Technician,,"21, 22, 23, 24, 26, 32",False,0.0,0.0,,
AMT,0x0618,Zone 1 Output State,Table Only,True,0.0,0.0,No Dependency,Technician,,"21, 22, 23, 24, 26, 32",False,0.0,0.0,,
AMT,0x0619,Zone 2 Output State,Table Only,True,0.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,"21, 22, 23, 24, 26, 32",False,0.0,0.0,,"P.Carr 29th Jan 24: 
updating dependency (previously had no dependency). "
AMT,0x0622,Return Air Temperature - Zone 3,Graph and Table,True,0.0,0.0,ZoneConfiguration<0xF824> is greater than 2,User,"Temperatures (◦C/◦F )
MT Zone 3","3, 280",False,0.0,0.0,,
AMT,0x0623,Discharge Air Temperature - Zone 3,Graph and Table,True,0.0,0.0,ZoneConfiguration<0xF824> is greater than 2,User,"Temperatures (◦C/◦F )
MT Zone 3","4, 280",False,0.0,0.0,,
AMT,0x0624,Evaporator Coil Temperature - Zone 3,Graph and Table,True,0.0,0.0,ZoneConfiguration<0xF824> is greater than 2,User,"Temperatures (◦C/◦F )
MT Zone 3","2, 9, 280",False,0.0,0.0,,
AMT,0x0649,Zone 1 Run Time Hours,Table Only,False,1.0,0.0,No Dependency,Technician,,64,False,0.0,1.0,,
AMT,0x064A,Zone 2 Run Time Hours,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,64,False,0.0,1.0,,
AMT,0x064B,Remote Evap. Type - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,"52, 67, 110, 112, 143",True,0.0,0.0,,
Nebula-Galaxy,0x064F,Combo Device Temperature,Table and Graph,True,0.0,0.0,,Technician,Temperatures (◦C/◦F ) MT Zone 1,"206, 265, 579",,0.0,0.0,ComboDeviceTemp,
Nebula-Galaxy,0x0650,Combo Device DC Bus Voltage,Table and Graph,True,0.0,0.0,,Technician,Voltage (V),265,,0.0,0.0,,
Nebula-Galaxy,0x0651,Combo Device DC Bus Power,Table and Graph,True,0.0,0.0,,Technician,,265,,0.0,0.0,,
Nebula-Galaxy,0x0652,Combo Device State,Table Only,False,1.0,0.0,,Technician,,265,,0.0,0.0,ComboDeviceState,
Nebula-Galaxy,0x0653,Combo Device Error Lamp,Table Only,False,1.0,0.0,,Technician,,265,,0.0,0.0,,
Nebula-Galaxy,0x0656,Combo Device Precharge Status,Table Only,False,1.0,0.0,,Technician,,,,0.0,0.0,"enum values: 0 - Precharge_active
1 - Precharge_completed",
AMT,0x0661,Zone 2 - Fan Motor 1 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,112,False,0.0,0.0,,
Nebula-Galaxy,0x0665,Economizer Liquid Line Solenoid Current Drawn,Table and Graph,True,0.0,0.0,,Technician,,"10,26,93,95",,0.0,0.0,,
AMT,0x0670,Suction Line Solenoid Z2 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,110,False,0.0,0.0,,
AMT,0x0671,Liquid Line Solenoid Z2 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,67,False,0.0,0.0,,
AMT,0x0672,Hot Gas Solenoid Z2 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,52,False,0.0,0.0,,
AMT,0x0673,Suction Line Solenoid Z3 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 2,Technician,,110,False,0.0,0.0,,
AMT,0x0674,Liquid Line Solenoid Z3 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 2,Technician,,67,False,0.0,0.0,,
AMT,0x0675,Hot Gas Solenoid Z3 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 2,Technician,,52,False,0.0,0.0,,
AMT,0x0678,Zone 2 - Drain Hose Heater Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,143,False,0.0,0.0,,
AMT,0x0679,Zone 3 - Drain Hose Heater Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 2,Technician,,143,False,0.0,0.0,,
AMT,0x068B,Zone 2 - Fan Motor 2 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,112,False,0.0,0.0,,
AMT,0x068C,Zone 2 - Fan Motor 3 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,112,False,0.0,0.0,,
Nebula-Galaxy,0x0698,Truck Low Voltage Command,Table Only,False,1.0,0.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x0699,PDU Heater Requested Duty Cycle Command,Table Only,False,1.0,0.0,,Technician,,,,0.0,0.0,This duty cycle is the requested duty cycle,
Nebula-Galaxy,0x069A,High Voltage Power Source Command,Table Only,False,1.0,0.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x069E,Pull Down Time,Table Only,True,0.0,0.0,Temp control mode (0x0176)  == Pulldown,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x069E,Pull Down Time Zone 1,Table Only,True,0.0,0.0,Temp control mode (0x0176)  == Pulldown,Technician,,,,0.0,0.0,,
AMT,0x06A7,Defrost Controlling Sensor - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,,True,0.0,0.0,,
AMT,0x06A8,Defrost Termination Method - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,Technician,,,False,0.0,0.0,Event log after defrost completion (defrost complete when DefrostFractionZ2<0x05EF> = 1 ),"P.Carr 14th June 22: 
Updated the additional requirement to clarify the correct SPN which defines defrost completion for zone 2 (DefrostFractionZ2<0x05EF>)"
AMT,0x06B2,Timed Defrost - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,,,True,0.0,0.0,,Event log which indicates defrost request
AMT,0x06B3,Manual Defrost - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,,,True,0.0,0.0,,Event log which indicates defrost request
AMT,0x06B4,Low Coil Temperature Demand Defrost - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,,,True,0.0,0.0,,Event log which indicates defrost request
AMT,0x06B5,Variable Temp. Differential Demand Defrost - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,,,True,0.0,0.0,,Event log which indicates defrost request
AMT,0x06B6,Modulation Demand Defrost - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,,,True,0.0,0.0,,Event log which indicates defrost request
AMT,0x06B7,Door Open Defrost - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,,,True,0.0,0.0,,Event log which indicates defrost request
AMT,0x06B8,Alert Defrost - Zone 2,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 1,User,,,True,0.0,0.0,,Event log which indicates defrost request
Nebula-Galaxy,0x06CD,Close Heater Relay,Table Only,False,1.0,0.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x06E1,Combo Device DC/AC Current,Table and Graph,True,0.0,0.0,,Technician,Currents (A),579,,0.0,0.0,InverterCurrent,
AMT,0x0700,Power Down Reason,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,0.0,0.0,Event Log at Power OFF,17th June 22: Added by P.Carr
Nebula-Galaxy,0x074A,Condenser Fan Current ,Table and Graph,True,0.0,0.0,,Technician,Currents (A),534,,0.0,0.0,,
Nebula-Galaxy,0x074B,Evaporator Fan Current Zone 1,Table and Graph,True,0.0,0.0,,Technician,Currents (A),112,,0.0,0.0,,
Nebula-Galaxy,0x074B,Evaporator Fan Current,Table and Graph,True,0.0,0.0,,Technician,Currents (A),590,,0.0,0.0,,
AMT,0x076C,Reset Type,Table Only,False,1.0,0.0,No Dependency,User,,,True,0.0,0.0,,19th Sept 22: Added by P.Carr to aid in diagnosis of field issues by determining if unit config reset or cold reset has been performed (i.e. after flash loading)
Nebula-Galaxy,0x076D,Pull down Time Remaining Zone 1,Table Only,True,0.0,0.0,Temp control mode (0x0176)  == Pulldown,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x076D,Pull down Time Remaining,Table Only,True,0.0,0.0,Temp control mode (0x0176)  == Pulldown,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x0771,Port Condenser Fan speed Request,Table and Graph,True,0.0,0.0,,Technician,,267,,0.0,0.0,,
Nebula-Galaxy,0x0771,Roadside Condenser Fan speed Request,Table and Graph,True,0.0,0.0,,Technician,,267,,0.0,0.0,RoadCondFspdRequest,
Nebula-Galaxy,0x0772,Roadside Evaporator Fan Speed Request,Table and Graph,True,0.0,0.0,,Technician,,267,,0.0,0.0,RoadEvapFspdRequest,
Nebula-Galaxy,0x0772,Evaporator Fan speed Request Zone 1,Table and Graph,True,0.0,0.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x0773,Star Condenser Fan speed Request,Table and Graph,True,0.0,0.0,,Technician,,268,,0.0,0.0,CurbCondFspdRequest,
Nebula-Galaxy,0x0773,Curbside Condenser Fan speed Request,Table and Graph,True,0.0,0.0,,Technician,,268,,0.0,0.0,,
Nebula-Galaxy,0x0774,Evaporator Fan speed Request Zone 2,Table and Graph,True,0.0,0.0,,Technician,,,,0.0,0.0,,
Nebula-Galaxy,0x0774,Curbside Evaporator Fan Speed Request,Table and Graph,True,0.0,0.0,,Technician,,268,,0.0,0.0,CurbEvapFspdRequest,
AMT,0x0776,Fixed Delta Modulation Defrost - Zone 1,Table Only,False,1.0,0.0,No Dependency,User,,,True,0.0,0.0,,Event log which indicates defrost request - Added 19th October 2022 (Pcarr)
AMT,0x07B2,Zone 3 Output State,Table Only,True,0.0,0.0,ZoneConfiguration<0xF824> is greater than 2,Technician,,"21, 22, 23, 24, 26, 32",False,0.0,0.0,,"P.Carr 6th December 23: 
updating dependency so that this parameter is only logged when unit is configured with 3 zones. "
AMT,0x07D6,Zone 3 Run Time Hours,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 2,Technician,,64,False,0.0,1.0,,
AMT,0x07DB,Zone 3 - Fan Motor 1 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 2,Technician,,112,False,0.0,0.0,,
AMT,0x07DC,Zone 3 - Fan Motor 2 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 2,Technician,,112,False,0.0,0.0,,
AMT,0x07DD,Zone 3 - Fan Motor 3 Current Drawn,Table Only,False,1.0,0.0,ZoneConfiguration<0xF824> is greater than 2,Technician,,112,False,0.0,0.0,,
